,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6840,19.614331516737245,100.0,900.0,100.0,19.43223,-99.14266,3.0,1.0,1.0,1.0,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,,0,30,60,240,2.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.04
6863,-3.9079413996117296,60.0,1255.0,46.0,19.40751,-99.17531,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,19,48,78,351,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,10.0,3.0,3.0,0.0,0.04
6864,-3.9079413996117296,60.0,1352.0,46.0,19.40754,-99.17561,3.0,1.0,2.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,19,49,79,354,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,10.0,3.0,3.0,0.0,0.04
6869,19.614331516737245,100.0,2492.0,100.0,19.43333,-99.13457,2.0,1.0,1.0,1.0,370,1.0,1.0,370.0,370.0,1.0,370.0,,0,4,4,4,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,1.0,0.0,0.0,0.04
6870,19.614331516737245,100.0,2957.0,100.0,19.43333,-99.13457,2.0,1.0,1.0,1.0,370,1.0,1.0,370.0,370.0,1.0,370.0,,22,48,74,319,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,0.0,0.0,0.11
6882,19.614331516737245,100.0,2957.0,100.0,19.43333,-99.13457,2.0,1.0,1.0,1.0,370,1.0,1.0,370.0,370.0,1.0,370.0,,13,39,69,323,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,0.0,0.0,0.2
6891,18.74313622353914,94.0,375.0,98.0,19.40391,-99.16062,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,57.0,10.0,0.0,4.79,4.86,4.65,4.95,4.91,4.89,4.77,6.0,0.0,4.0,0.0,1.24
6917,19.614331516737245,100.0,2492.0,100.0,19.43333,-99.13457,2.0,1.0,1.0,1.0,370,1.0,1.0,370.0,370.0,1.0,370.0,,28,48,78,337,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,0.0,0.0,0.02
6918,19.614331516737245,100.0,2492.0,100.0,19.43333,-99.13457,2.0,1.0,1.0,1.0,370,1.0,1.0,370.0,370.0,1.0,370.0,,18,47,77,329,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,0.0,0.0,0.1
6928,-3.9079413996117296,60.0,1456.0,46.0,19.40899,-99.17353,3.0,1.0,2.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,19,49,79,346,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,3.0,3.0,0.0,0.02
6943,-3.9079413996117296,60.0,1300.0,46.0,19.40749,-99.17561,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,19,49,79,354,1.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,3.0,3.0,0.0,0.02
6953,16.390908931904235,60.0,768.0,92.6,19.38343,-99.19814,4.0,1.0,2.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,12,42,132,1.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.02
7085,16.390908931904235,60.0,1745.0,92.6,19.41493,-99.16685,2.0,1.0,1.0,1.0,10,1.0,1.0,10.0,10.0,1.0,10.0,,29,59,89,89,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.02
7312,18.74313622353914,94.0,375.0,98.0,19.40293,-99.1606,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,73.0,18.0,2.0,4.59,4.66,4.52,4.7,4.77,4.73,4.53,6.0,0.0,4.0,0.0,1.67
7372,9.59558564495898,100.0,8024.0,77.0,19.3459,-99.16171,2.0,1.0,1.0,1.0,101,1.0,1.0,101.0,101.0,1.0,101.0,,21,50,79,345,42.0,5.0,0.0,4.74,4.64,4.38,4.88,4.83,4.95,4.62,6.0,0.0,5.0,0.0,0.98
7507,12.209171524553312,100.0,776.0,83.0,19.34631,-99.2,3.0,1.0,2.0,1.0,365,1.0,1.0,365.0,1125.0,1.0,616.0,,0,0,0,120,0.0,0.0,0.0,4.74,4.64,4.38,4.88,4.83,4.95,4.62,6.0,1.0,1.0,0.0,0.98
7513,12.209171524553312,100.0,776.0,83.0,19.34628,-99.2,4.0,1.0,2.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,13,13,13,133,4.0,1.0,0.0,4.0,4.0,5.0,5.0,4.25,5.0,3.75,6.0,1.0,1.0,0.0,0.09
7521,12.209171524553312,100.0,823.0,83.0,19.34645,-99.2,5.0,1.0,3.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,120,3.0,2.0,0.0,5.0,5.0,4.67,4.67,5.0,4.33,4.67,6.0,1.0,1.0,0.0,0.13
7529,12.209171524553312,100.0,2966.0,83.0,19.3474,-99.2,8.0,1.0,4.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,120,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,1.0,0.0,0.05
7532,19.614331516737245,100.0,2657.0,100.0,19.34921,-99.16183,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,9,25,55,290,21.0,11.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,0.0,5.0,0.0,0.49
9495,19.614331516737245,100.0,0.0,100.0,19.43142,-99.15688,0.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,0,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,1.0,0.0,0.12
9537,19.614331516737245,100.0,0.0,100.0,19.42918,-99.19296,0.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.12
9539,19.614331516737245,100.0,0.0,100.0,19.35086,-99.18667,0.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.12
9544,19.614331516737245,100.0,0.0,100.0,19.43632,-99.1464,0.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.12
11362,19.614331516737245,100.0,2409.0,100.0,19.4393,-99.14381,1.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,30,60,90,93,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,4.0,2.0,0.1,0.12
